Complaint,Category,,,,,
"Excuse me, i noticed a login from a sorting center I don't recognize.",Security and Privacy,,,,,
i am unable to access my shopping cart due to a server system crash.,Technical Issues,,,,,
The merchandise looks nothing like the picture on the storefront.,Product Integrity & Accuracy,,,,,
"I'm sorry, but I am unable to access my bag due to a server error.",Technical Issues,,,,,
The flash sale prices are not showing up in my basket!,Promotions,,,,,
"Hi, The storefront is not private and I am worried about my information.",Security and Privacy,,,,,
I want to ask for a copy of all the data you have on me.,Security and Privacy,,,,,
can I get a free test for your platform?,Subscriptions,,,,,
i want to exchange my item for a different size.,Refund & Returns,,,,,
The courier lost my package and I need help.,Delivery,,,,,
"Excuse me, Is there a delay with shipping to my area?",Delivery,,,,,
i want to exchange my purchase for a full money back!,Refund & Returns,,,,,
This article seems to be a pre-owned unit instead of new!,Product Integrity & Accuracy,,,,,
the stock level status changed from available to unavailable suddenly.,Inventory,,,,,
when will this article be back in the stockroom?,Inventory,,,,,
Internal server system crash is preventing me from finishing my view my cart.,Technical Issues,,,,,
i need to recover my credentials immediately!,Security and Privacy,,,,,
i think my profile has been stolen or compromised.,Security and Privacy,,,,,
"Excuse me, The screen times out every time I refresh it.",Technical Issues,,,,,
I want to exchange my request for a full money back.,Refund & Returns,,,,,
"Hello, i want to exchange my purchase for a full money back!",Refund & Returns,,,,,
why is the coupon code old when it should be valid?,Promotions,,,,,
"Hi, My checkout was failed but the money was deducted from my bank!",Billing & Transaction Problems,,,,,
"I'm sorry, but your refund policy says I have 30 days to return this.",Refund & Returns,,,,,
i can't change my mobile on the membership settings.,Account & Profile Management,,,,,
"Hello, I need an update on my box transit status.",Delivery,,,,,
"Excuse me, I can't view my cart because the storefront is too slow.",Technical Issues,,,,,
"Hello, i want to convert my payment term from recurring to annual.",Subscriptions,,,,,
"Excuse me, I want to return my transaction for a full money back.",Refund & Returns,,,,,
This offer is very misleading.,Promotions,,,,,
my preferences are not saving after I refresh them.,Account & Profile Management,,,,,
i want to return my transaction for a full reimbursement.,Refund & Returns,,,,,
My legal name is spelled incorrectly on my profile.,Account & Profile Management,,,,,
Why was I charged for a subscription I already terminated?,Subscriptions,,,,,
The pay button on the payment page is not working.,Technical Issues,,,,,
"Excuse me, I requested a money back a week ago and haven't heard back.",Refund & Returns,,,,,
"I'm sorry, but The price reduction promised in the marketing mail is not working.",Promotions,,,,,
why was my personal data shared with a third party without consent?,Security and Privacy,,,,,
I was informed that the product is unavailable after I checked out.,Inventory,,,,,
i am unable to access my shopping cart due to a server failure!,Technical Issues,,,,,
i think my membership has been stolen or breached.,Security and Privacy,,,,,
The build of this item is very poor compared to the description!,Product Integrity & Accuracy,,,,,
I want to exchange my purchase for a full money back!,Refund & Returns,,,,,
i am unable to access my basket due to a server system crash.,Technical Issues,,,,,
the postal service lost my box and I need help.,Delivery,,,,,
My order has been out for delivery for three days now.,Delivery,,,,,
why is the inventory count wrong on the UI?,Inventory,,,,,
I want to improve my plan to the premium level.,Subscriptions,,,,,
My purchase postponed and it hasn't arrived yet!,Delivery,,,,,
i signed up for the signup bonus but never received it!,Promotions,,,,,
"I'm sorry, but this deal is very misleading.",Promotions,,,,,
"Excuse me, my username is spelled incorrectly on my account details.",Account & Profile Management,,,,,
"Hi, I want to delete my account permanently.",Account & Profile Management,,,,,
My transaction postponed and it hasn't arrived yet.,Delivery,,,,,
the good is sold out and I need to know when it will be replenished.,Inventory,,,,,
"Excuse me, I need an update on my parcel transit status.",Delivery,,,,,
I want to exchange my product for a different size!,Refund & Returns,,,,,
i was charged twice for my recent request.,Billing & Transaction Problems,,,,,
"I'm sorry, but the platform is not displaying product photos properly!",Technical Issues,,,,,
the item stopped working after only one day of use!,Product Integrity & Accuracy,,,,,
how do I edit my newsletter in my profile?,Account & Profile Management,,,,,
I am unable to access my bag due to a server error.,Technical Issues,,,,,
can you check quantity in the nearby sorting center?,Inventory,,,,,
"I'm sorry, but I cannot find where to adjust my personal details.",Account & Profile Management,,,,,
"Hi, my promo code is not applying to my request.",Promotions,,,,,
i haven't received a receipt for my transaction.,Billing & Transaction Problems,,,,,
the storefront says ready but it's actually on pre-order!,Inventory,,,,,
The storefront is not private and I am worried about my information.,Security and Privacy,,,,,
I need to reset my credentials immediately.,Security and Privacy,,,,,
The storefront says available but it's actually on waiting list.,Inventory,,,,,
i want to stop my annual membership.,Subscriptions,,,,,
"Hi, I haven't received my reimbursement yet for the shipped back item!",Refund & Returns,,,,,
"I'm sorry, but the site is not displaying product photos properly.",Technical Issues,,,,,
i want to convert my payment term from monthly to one-year.,Subscriptions,,,,,
Why is the inventory count wrong on the page?,Inventory,,,,,
"Hello, Internal server system crash is preventing me from finishing my view my cart!",Technical Issues,,,,,
my payment was rejected but the money was withdrawn from my bank!,Billing & Transaction Problems,,,,,
i didn't get the freebie with my purchase.,Promotions,,,,,
"Hello, the delivery driver lost my parcel and I need help.",Delivery,,,,,
i noticed a access from a transit I don't recognize.,Security and Privacy,,,,,
the product is unavailable and I need to know when it will be back in stock.,Inventory,,,,,
The limited offer prices are not showing up in my bag.,Promotions,,,,,
"Excuse me, your terms of service says I have 30 days to return this.",Refund & Returns,,,,,
"Hi, i want to ask for a copy of all the personal data you have on me.",Security and Privacy,,,,,
i want to delete my account permanently.,Account & Profile Management,,,,,
i can't log in because the site is too slow!,Technical Issues,,,,,
"Hi, Someone made an illegal order using my account.",Security and Privacy,,,,,
"Excuse me, The good is sold out and I need to know when it will be restocked.",Inventory,,,,,
I didn't get the bonus with my order.,Promotions,,,,,
My legal name is spelled incorrectly on my account details.,Account & Profile Management,,,,,
is this product a limited edition or will more be made?,Inventory,,,,,
i can't update my mobile on the account settings!,Account & Profile Management,,,,,
part of the kit is not in the box from the package.,Product Integrity & Accuracy,,,,,
The delivery driver was supposed to deliver my request yesterday but it's late.,Delivery,,,,,
"Hi, i am unable to access my basket due to a server failure.",Technical Issues,,,,,
i didn't get a notice before my re-up charge.,Subscriptions,,,,,
i need a breakdown of the fees on my latest account statement!,Billing & Transaction Problems,,,,,
I noticed a login from a sorting center I don't recognize.,Security and Privacy,,,,,
how do I pause my access for a few months?,Subscriptions,,,,,
i'm getting a 404 error when I click the pay button.,Technical Issues,,,,,
"Hello, I want to exchange my request for a full reimbursement!",Refund & Returns,,,,,
"Hello, I want to use my reward credits for this order.",Promotions,,,,,
The price reduction promised in the marketing mail is not working!,Promotions,,,,,
"Hi, the price at checkout didn't match the price on the product page.",Billing & Transaction Problems,,,,,
the referral credit was not added to my profile.,Promotions,,,,,
My payment method was charged the wrong amount!,Billing & Transaction Problems,,,,,
The price reduction promised in the email is not working!,Promotions,,,,,
"Hello, I want to enable two-factor authentication for better security.",Security and Privacy,,,,,
